,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
0,Acer,Iconia Tab A701,HSPA 21.1/5.76 Mbps,Yes,Yes,2012,259.8 x 175 x 10.9 mm (10.23 x 6.89 x 0.43 in),667.0,Mini-SIM,LCD capacitive touchscreen  16M colors,10.1 inches (~65.1% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Quad-core 1.3 GHz Cortex-A9,Nvidia Tegra 3,ULP GeForce,microSD  up to 32 GB (dedicated slot),16/32/64 GB,1 GB RAM,5 MP| autofocus| LED flash,Yes,Yes,Yes,Yes,,No,Non-removable Li-Po 9800 mAh battery (36 Wh),380.0,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,GSM,,,4,,Yes,,,,LCD,Yes,,
1,Icemobile,Rock Mini,,Yes,,2012,103.2 x 45.2 x 14.5 mm (4.06 x 1.78 x 0.57 in),46.0,Dual SIM (Mini-SIM),TFT,1.8 inches (~21.9% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,1.3 MP,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 700 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-rock-mini.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2,BLU,Swing,,Yes,,2011,84 x 42 x 17.5 mm (3.31 x 1.65 x 0.69 in),47.0,Mini-SIM,TFT  65K colors,1.77 inches (~27.9% screen-to-body ratio),176 x 220 pixels (~159 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),128 MB ROM,64 MB RAM,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 560 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/blu-swing.jpg,GSM,,,1,Yes,,,,TFT,,,,
3,VK Mobile,VK2100,,Yes,,2005,93 x 49 x 9.3 mm (3.66 x 1.93 x 0.37 in),48.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,2 GB,,,,No,Yes,,,No,Removable Li-Ion 790 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif,GSM,,,1,Yes,,,OLED,,,,,
4,VK Mobile,VK2000,,Yes,,2005,89.9 x 49.9 x 8.8 mm (3.54 x 1.96 x 0.35 in),48.0,Mini-SIM,STN  65K colors,,128 x 143 pixels,,,,,No,,,,,No,Yes,,,No,Removable Li-Po (VKST-2000),,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,GSM,,,1,,Yes,,,,,,,
5,VK Mobile,VK2010,,Yes,,2005,90 x 50 x 8.8 mm (3.54 x 1.97 x 0.35 in),50.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,64/128 MB,,,,No,Yes,,,No,Removable Li-Ion 790 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif,GSM,,,1,Yes,,,OLED,,,,,
6,Philips,X100,,Yes,,2010,112.8 x 43.8 x 14.9 mm (4.44 x 1.72 x 0.59 in),52.7,Dual SIM (Mini-SIM),TFT  256K colors,1.8 inches (~20.6% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,,,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/philips-x100.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
7,Philips,193,,Yes,,2008,104.5 x 45.5 x 12.8 mm (4.11 x 1.79 x 0.50 in),53.0,Mini-SIM,CSTN  65K colors,1.47 inches (~14.7% screen-to-body ratio),128 x 128 pixels (~123 ppi pixel density),,,,,No,,,,,No,Yes,,,FM radio,Removable Li-Ion 650 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/philips-193.jpg,GSM,,,1,Yes,,,,,,,,
8,VK Mobile,VK2020,,Yes,,2006,95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),53.0,Mini-SIM,OLED  256K colors,,128 x 160 pixels,,,,,No,64 MB,,,,No,Yes,,,No,Removable Li-Ion battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,GSM,,,1,Yes,,,OLED,,,,,
9,BLU,Tattoo Mini,,Yes,,2011,99 x 55 x 13 mm (3.90 x 2.17 x 0.51 in),54.0,Mini-SIM,TFT  256K colors,2.0 inches (~23.1% screen-to-body ratio),220 x 176 pixels (~141 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),64 MB ROM,32 MB RAM,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 750 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/blu-tattoo-mini.jpg,GSM,,,1,Yes,,,,TFT,,,,
10,Samsung,U100,,Yes,Yes,2007,105.5 x 50 x 5.9 mm (4.15 x 1.97 x 0.23 in),57.0,Mini-SIM,TFT  256K colors,1.93 inches (~22.2% screen-to-body ratio),220 x 176 pixels (~146 ppi pixel density),,,,,No,70 MB,,3.15 MP,No,No,Yes,,,No,Removable Li-Ion 690 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-u100.gif,GSM,,,1,Yes,,,,TFT,,,,
11,Toshiba,G450,HSPA 3.6/0.384 Mbps,Yes,Yes,2008,98 x 36 x 16 mm (3.86 x 1.42 x 0.63 in),57.0,Mini-SIM,Monochrome graphics,,96 x 39 pixels,,ARM 9,Qualcomm MSM6280,,No,160 MB,,,,No,Yes,,,No,Removable Li-Ion 600 mAh battery,130.0,http://cdn2.gsmarena.com/vv/bigpic/toshiba-g450.jpg,GSM,,,1,Yes,,,,,,,,
12,Icemobile,Sol,,Yes,,2011,96.2 x 52 x 13.2 mm (3.79 x 2.05 x 0.52 in),59.0,Dual SIM (Mini-SIM),TFT resistive touchscreen  65K colors,2.4 inches (~35.7% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 850 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
13,Kyocera,S1600,,Yes,,2008,104 x 48 x 11.5 mm (4.09 x 1.89 x 0.45 in),59.0,Mini-SIM,CSTN  65K colors,1.5 inches (~14.5% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,No,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/kyocera-s1600.jpg,GSM,,,1,Yes,,,,,,,,
14,alcatel,OT-216,,Yes,,2010,106 x 46 x 14.5 mm (4.17 x 1.81 x 0.57 in),60.0,Mini-SIM,CSTN  65K colors,1.5 inches (~14.9% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-216.jpg,GSM,,,1,Yes,,,,,,,,
15,LG,MG160,,Yes,,2007,98 x 45 x 12.9 mm (3.86 x 1.77 x 0.51 in),60.0,Mini-SIM,CSTN   65K colors,1.5 inches (~16.5% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/lg-mg160.jpg,GSM,,,1,Yes,,,,,,,,
16,Micromax,X231,,Yes,,2012,120.5 x 50.2 x 10.9 mm (4.74 x 1.98 x 0.43 in),61.7,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~29.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x231.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
17,Amoi,A310,,Yes,,2006,91.9 x 41.8 x 14.9 mm (3.62 x 1.65 x 0.59 in),62.0,Mini-SIM,CSTN  65K colors,1.5 inches (~18.9% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,5 MB,,,,No,Yes,,,FM radio (Optional),Removable Li-Ion 720 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a310.gif,GSM,,,1,Yes,,,,,,,,
18,Samsung,M300,,Yes,,2007,80 x 40 x 16.7 mm (3.15 x 1.57 x 0.66 in),63.0,Mini-SIM,TFT  65K colors,1.6 inches (~25.2% screen-to-body ratio),128 x 160 pixels (~128 ppi pixel density),,,,,No,600 KB,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 700 mAh battery,60.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-m300.gif,GSM,,,1,Yes,,,,TFT,,,,
19,Samsung,E1085T,,Yes,Yes,2009,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),64.5,Mini-SIM,CSTN  65K colors,1.43 inches (~13.5% screen-to-body ratio),128 x 128 pixels (~127 ppi pixel density),,,,,No,1 MB,,,,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 800 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1085t.jpg,GSM,,,1,Yes,,,,,,,,
20,Samsung,E1080T,,Yes,Yes,2009,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),64.5,Mini-SIM,CSTN  65K colors,1.43 inches (~13.5% screen-to-body ratio),128 x 128 pixels (~127 ppi pixel density),,,,,No,1 MB,,,,No,Yes,,,No,Removable Li-Ion 800 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1080t.jpg,GSM,,,1,Yes,,,,,,,,
21,Haier,P7,,Yes,,2004,150 x 27 x 18.2 mm (5.91 x 1.06 x 0.72 in),65.0,Mini-SIM,TFT  65K colors,,64 x 128 pixels,,,,,No,3 MB,,VGA,No,No,Yes,,,No,Removable Li-Ion 600 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/hap7.gif,GSM,,,1,Yes,,,,TFT,,,,
22,Icemobile,Sol II,,Yes,,2012,101 x 55.6 x 12.6 mm (3.98 x 2.19 x 0.50 in),65.0,Dual SIM (Mini-SIM),TFT resistive touchscreen  65K colors,2.8 inches (~43.2% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/icemobile-sol2.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
23,LG,KP108,,Yes,,2010,101 x 46 x 12.9 mm (3.98 x 1.81 x 0.51 in),65.0,Mini-SIM,TFT  65K colors,1.52 inches (~16.0% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 900 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/lg-kp108.jpg,GSM,,,1,Yes,,,,TFT,,,,
24,LG,KP110,,Yes,,2008,103.1 x 46 x 13.4 mm (4.06 x 1.81 x 0.53 in),65.0,Mini-SIM,CSTN  65K colors,1.5 inches (~15.3% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),1 MB,,,,No,Yes,,,FM radio,Removable Li-Ion 900 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/lg-kp110.jpg,GSM,,,1,Yes,,,,,,,,
25,Micromax,X215,,Yes,,2009,-,65.0,Mini-SIM,CSTN  65K colors,1.5 inches,128 x 128 pixels (~121 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),,,Yes,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 1000 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/x215.jpg,GSM,,,1,Yes,,,,,,,,
26,Micromax,X225,,Yes,,2008,-,65.0,Mini-SIM,TFT  65K colors,1.8 inches,128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,No,Yes,,,Stereo FM radio| recording,Removable Li-Ion 700 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/x225.jpg,GSM,,,1,Yes,,,,TFT,,,,
27,Samsung,E1070,,Yes,Yes,2009,100.8 x 41 x 15 mm (3.97 x 1.61 x 0.59 in),65.0,Mini-SIM,CSTN  65K colors,1.38 inches (~14.9% screen-to-body ratio),128 x 128 pixels (~131 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 750 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1070.jpg,GSM,,,1,Yes,,,,,,,,
28,Samsung,E590,,Yes,Yes,2007,94 x 42 x 13.5 mm (3.70 x 1.65 x 0.53 in),65.0,Mini-SIM,TFT  256K colors,1.8 inches (~26.5% screen-to-body ratio),220 x 220 pixels (~173 ppi pixel density),,,,,microSD (dedicated slot),90 MB,,3.15 MP| autofocus,No,No,Yes,,,FM radio,Removable Li-Ion 800 mAh battery,60.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e590.gif,GSM,,,1,Yes,,,,TFT,,,,
29,Telit,NEO,,Yes,,2004,99 x 44 x 18 mm (3.90 x 1.73 x 0.71 in),65.0,Mini-SIM,TFT  65K colors,,128 x 128 pixels,,,,,No,4 MB,,,,No,Yes,,,No,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/teneo.gif,GSM,,,1,Yes,,,,TFT,,,,
30,Telit,X60i,,Yes,,2004,72 x 41 x 22 mm (2.83 x 1.61 x 0.87 in),65.0,Mini-SIM,CSTN  65K colors,,128 x 128 pixels,,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 720 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/tex60i.gif,GSM,,,1,Yes,,,,,,,,
31,alcatel,OT-300,,Yes,,2010,108 x 46 x 15.3 mm (4.25 x 1.81 x 0.60 in),66.0,Mini-SIM,CSTN  65K colors,1.45 inches (~13.7% screen-to-body ratio),128 x 128 pixels (~125 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 500 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-300.jpg,GSM,,,1,Yes,,,,,,,,
32,alcatel,OT-303,,Yes,,2009,107 x 46 x 12.1 mm (4.21 x 1.81 x 0.48 in),66.0,Mini-SIM,CSTN  65K colors,1.8 inches (~20.7% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-303.jpg,GSM,,,1,Yes,,,,,,,,
33,Motorola,WX288,,Yes,,2009,107 x 46 x 12.2 mm| 59.8 cc (4.21 x 1.81 x 0.48 in),66.0,Mini-SIM,CSTN  65K colors,1.8 inches (~20.7% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 650 mAh battery,60.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-wx288.jpg,GSM,,,1,Yes,,,,,,,,
34,Motorola,WX280,,Yes,,2009,107 x 46 x 12.2 mm| 59.8 cc (4.21 x 1.81 x 0.48 in),66.0,Mini-SIM,CSTN  65K colors,1.8 inches (~20.7% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 650 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-wx280.jpg,GSM,,,1,Yes,,,,,,,,
35,Nokia,2630,,Yes,Yes,2007,105 x 45 x 9.9 mm| 45 cc (4.13 x 1.77 x 0.39 in),66.0,Mini-SIM,TFT  65K colors,1.8 inches (~21.6% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,11 MB,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 700 mAh battery (BL-4B),60.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-2630.gif,GSM,,,1,Yes,,,,TFT,,,,
36,Samsung,C3010,,Yes,Yes,2009,110.5 x 45.8 x 12.1 mm (4.35 x 1.80 x 0.48 in),66.0,Mini-SIM,TFT  65K colors,2.0 inches (~24.9% screen-to-body ratio),128 x 160 pixels (~102 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),15 MB,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 800 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-c3010.jpg,GSM,,,1,Yes,,,,TFT,,,,
37,Samsung,X820,,Yes,Yes,2006,113 x 50 x 6.9 mm (4.45 x 1.97 x 0.27 in),66.0,Mini-SIM,TFT  256K colors,1.8 inches| 35 x 28 mm (~18.0% screen-to-body ratio),220 x 176 pixels (~157 ppi pixel density),,,,,No,80 MB,,2 MP,No,No,Yes,,,No,Removable Li-Po 630 mAh battery,110.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-x820.gif,GSM,,,1,,Yes,,,TFT,,,,
38,LG,CG180,,Yes,,2007,99 x 45 x 14.7 mm (3.90 x 1.77 x 0.58 in),67.0,Mini-SIM,TFT  65K colors,1.5 inches (~16.3% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 750 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/lg-cg180.jpg,GSM,,,1,Yes,,,,TFT,,,,
39,Micromax,X274,,Yes,,2012,117.8 x 49 x 14.9 mm (4.64 x 1.93 x 0.59 in),67.0,Dual SIM (Mini-SIM),TFT  256K colors,2.4 inches (~30.9% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),,,VGA,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x274.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
40,Samsung,C170,,Yes,,2007,105 x 42 x 8.9 mm (4.13 x 1.65 x 0.35 in),67.0,Mini-SIM,CSTN  65K colors,1.52 inches (~16.9% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,600 KB,,,,No,Yes,,,FM radio,Removable Li-Ion 730 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-c170.gif,GSM,,,1,Yes,,,,,,,,
41,alcatel,OT-305,,Yes,,2010,107 x 46 x 14.3 mm (4.21 x 1.81 x 0.56 in),67.4,Mini-SIM,TFT  65K colors,1.45 inches (~13.8% screen-to-body ratio),128 x 128 pixels (~125 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),2 MB,,VGA,No,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 500 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-305.jpg,GSM,,,1,Yes,,,,TFT,,,,
42,Samsung,B130,,Yes,,2008,104 x 43.5 x 16 mm (4.09 x 1.71 x 0.63 in),67.5,Mini-SIM,CSTN  65K colors,1.52 inches (~16.5% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,400 KB,,,,No,Yes,,,No,Removable Li-Ion 750 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-b130.jpg,GSM,,,1,Yes,,,,,,,,
43,Samsung,M3510 Beat b,,Yes,Yes,2008,109 x 46 x 9.9 mm (4.29 x 1.81 x 0.39 in),68.0,Mini-SIM,TFT  16M colors,2.0 inches (~24.7% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD (dedicated slot)  1 GB included,40 MB,,2 MP,No,Yes,Yes,,,Stereo FM radio| RDS| recording,Removable Li-Ion 800 mAh battery,110.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-m3510.jpg,GSM,,,1,Yes,,,,TFT,,,,
44,Samsung,C240,,Yes,,2006,104 x 42.5 x 15.6 mm (4.09 x 1.67 x 0.61 in),68.0,Mini-SIM,UFB  65K colors,1.6 inches (~18.7% screen-to-body ratio),128 x 128 pixels (~113 ppi pixel density),,,,,No,1.2 MB,,,,No,Yes,,,FM radio,Removable Li-Ion 750 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c240.gif,GSM,,,1,Yes,,,,,,,,
45,Spice,QT-68,,Yes,Yes,2010,111 x 59 x 11.7 mm (4.37 x 2.32 x 0.46 in),68.0,Dual SIM (Mini-SIM),TFT   256K colors,2.4 inches (~27.2% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),,,3.15 MP,No,Yes,Yes,,,FM radio| scheduled recording,Removable Li-Ion 1000 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/spice-qt-68.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
46,Philips,E102,,Yes,,2009,108 x 47 x 12.7 mm (4.25 x 1.85 x 0.5 in),68.8,Mini-SIM,CSTN  65K colors,1.4 inches (~12.5% screen-to-body ratio),128 x 128 pixels (~129 ppi pixel density),,,,,No,,,,,No,Yes,,,FM radio,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/philips-e102.jpg,GSM,,,1,Yes,,,,,,,,
47,alcatel,OT-308,,Yes,,2012,109 x 46 x 14 mm (4.29 x 1.81 x 0.55 in),69.0,Mini-SIM,TFT  65K colors,1.5 inches (~14.5% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,52 MHz,,,microSD  up to 2 GB (dedicated slot),1 MB,,VGA,No,Yes,Yes,,,FM radio| RDS,Removable Li-Ion 500 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-ot308.jpg,GSM,,,1,Yes,,,,TFT,,,,
48,alcatel,OT-301,,Yes,,2010,108 x 46 x 15.3 mm (4.25 x 1.81 x 0.60 in),69.0,Mini-SIM,CSTN  65K colors,1.5 inches (~14.6% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),2 MB,,VGA,No,No,Yes,,,FM radio| RDS,Removable Li-Ion 500 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-300.jpg,GSM,,,1,Yes,,,,,,,,
49,alcatel,OT-S520,,Yes,,2008,103 x 44.9 x 10.9 mm (4.06 x 1.77 x 0.43 in),69.0,Mini-SIM,STN  65K colors,1.8 inches (~22.0% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,No,Removable Li-Ion 750 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-s520.jpg,GSM,,,1,Yes,,,,,,,,
50,alcatel,OT-S621,,Yes,,2008,103.5 x 44.9 x 10.9 mm (4.07 x 1.77 x 0.43 in),69.0,Mini-SIM,STN  65K colors,1.8 inches (~21.9% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD (dedicated slot),10 MB,,1.3 MP,No,No,Yes,,,No,Removable Li-Ion 750 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-s621.jpg,GSM,,,1,Yes,,,,,,,,
51,BLU,Samba Elite,,Yes,,2011,102 x 56 x 13.5 mm (4.02 x 2.20 x 0.53 in),69.0,Mini-SIM,TFT  256K colors,2.0 inches (~22.0% screen-to-body ratio),160 x 128 pixels (~102 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),256 MB ROM,64 MB RAM,2 MP,No,No,Yes,,,FM radio,Removable Li-Ion 750 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/blu-samba-elite.jpg,GSM,,,1,Yes,,,,TFT,,,,
52,Kyocera,E2500,,Yes,Yes,2008,105 x 48 x 12 mm (4.13 x 1.89 x 0.47 in),69.0,Mini-SIM,CSTN  65K colors,2.0 inches (~25.6% screen-to-body ratio),128 x 128 pixels (~91 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,1.3 MP,No,No,Yes,,,No,Removable Li-Ion 920 mAh battery,70.0,http://cdn2.gsmarena.com/vv/bigpic/Kyocera-E2500.jpg,GSM,,,1,Yes,,,,,,,,
53,Samsung,M140,,Yes,,2008,103 x 45 x 15 mm (4.06 x 1.77 x 0.59 in),69.0,Mini-SIM,CSTN   65K colors,2.1 inches (~30.7% screen-to-body ratio),128 x 128 pixels (~86 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 800 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-m140.jpg,GSM,,,1,Yes,,,,,,,,
54,Samsung,B110,,Yes,,2008,103.5 x 45 x 15 mm (4.07 x 1.77 x 0.59 in),69.0,Mini-SIM,CSTN  65K colors,1.52 inches (~16.0% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,600 KB,,,,No,Yes,,,No,Removable Li-Ion 800 mAh battery,110.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-b110.jpg,GSM,,,1,Yes,,,,,,,,
55,Samsung,C210,,Yes,,2005,105 x 43 x 19 mm (4.13 x 1.69 x 0.75 in),69.0,Mini-SIM,UFB  65K colors,1.5 inches (~16.1% screen-to-body ratio),128 x 128 pixels| 5 lines (~121 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 800 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c210.gif,GSM,,,1,Yes,,,,,,,,
56,Samsung,C200,,Yes,,2004,105 x 43 x 19 mm (4.13 x 1.69 x 0.75 in),69.0,Mini-SIM,UFB  65K colors,1.6 inches (~18.3% screen-to-body ratio),128 x 128 pixels| 5 lines (~113 ppi pixel density),,,,,No,,,,,No,Yes,,,No,Removable Li-Ion 700 mAh battery,30.0,http://cdn2.gsmarena.com/vv/bigpic/ssc200.gif,GSM,,,1,Yes,,,,,,,,
57,Vodafone,340,,Yes,,2009,109 x 45.5 x 12 mm (4.29 x 1.79 x 0.47 in),69.0,Mini-SIM,TFT  65K colors,1.5 inches (~14.3% screen-to-body ratio),128 x 160 pixels (~137 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,FM radio,Removable Li-Ion 700 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/vodafone-340.jpg,GSM,,,1,Yes,,,,TFT,,,,
58,Samsung,M130,,Yes,Yes,2008,103.5 x 45 x 15 mm (4.07 x 1.77 x 0.59 in),69.2,Mini-SIM,CSTN   65K colors,1.52 inches (~16.0% screen-to-body ratio),128 x 128 pixels (~119 ppi pixel density),,,,,No,2 MB,,VGA,No,No,Yes,,,No,Removable battery,,http://cdn2.gsmarena.com/vv/bigpic/samsung-m130.jpg,GSM,,,1,,,,,,,,,
59,alcatel,OT-505,,Yes,,2010,107 x 46 x 14.3 mm (4.21 x 1.81 x 0.56 in),69.6,Mini-SIM,TFT  65K colors,1.77 inches (~20.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),2 MB,,VGA,No,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 650 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-505.jpg,GSM,,,1,Yes,,,,TFT,,,,
